Bujalance	LOC
Bocairente	LOC
Belalcázar	LOC
Barcarrota	LOC
Baños	LOC
de	LOC
la	LOC
Encina	LOC
Bailén	LOC
Baeza	LOC
Baena	LOC
Badajoz	LOC
Atarfe	LOC
Arcos	LOC
de	LOC
la	LOC
Frontera	LOC
Antequera	LOC
Altea	LOC
Almería	LOC
Almendralejo	LOC
Almendral	LOC
Almansa	LOC
Almadén	LOC
Alicante	LOC
Alhaurín	LOC
el	LOC
Grande	LOC
Alhambra	LOC
Alhama	LOC
Algeciras	LOC
Alcaudete	LOC
Alcalá	LOC
la	LOC
Real	LOC
Alcalá	LOC
de	LOC
los	LOC
Gazules	LOC
Albacete	LOC
Alange	LOC
Tetuán	LOC
Larache	LOC
Casablanca	LOC
Penmaenmawr	LOC
Basilea	LOC
Penafiel	LOC
Braga	LOC
Rotterdam	LOC
Amsterdam	LOC
Offenbach	LOC
Nuremberg	LOC
Mainz	LOC
Frankfurt	LOC
Toulouse	LOC
Bayonne	LOC
Zaragoza	LOC
Zamora	LOC
Vitoria	LOC
Vitigudino	LOC
Villaviciosa	LOC
Villanañe	LOC
Vigo	LOC
Vendrell	LOC
Valladolid	LOC
Valjunquera	LOC
Tudela	LOC
Tricio	LOC
Tortosa	LOC
Teruel	LOC
Tarragona	LOC
Soria	LOC
Solsona	LOC
Simancas	LOC
Sigüenza	LOC
Sepúlveda	LOC
Segurilla	LOC
Segovia	LOC
Santo	LOC
Domingo	LOC
de	LOC
la	LOC
Calzada	LOC
Santiago	LOC
de	LOC
Compostela	LOC
Santiago	LOC
Santander	LOC
San	LOC
Martín	LOC
de	LOC
la	LOC
Vega	LOC
Samos	LOC
Saldaña	LOC
Salamanca	LOC
Sahagún	LOC
Roa	LOC
Reus	LOC
Reinosa	LOC
Pozuelo	LOC
de	LOC
Alarcón	LOC
Poza	LOC
de	LOC
la	LOC
Sal	LOC
Potes	LOC
Pontevedra	LOC
Plasencia	LOC
Pamplona	LOC
Palencia	LOC
Oviedo	LOC
Nájera	LOC
Monzón	LOC
Monforte	LOC
de	LOC
Lemos	LOC
Mondoñedo	LOC
Milmanda	LOC
Medina	LOC
del	LOC
Campo	LOC
Marmellar	LOC
de	LOC
Arriba	LOC
Maqueda	LOC
Manresa	LOC
Lugo	LOC
Lorenzana	LOC
Logroño	LOC
Llanes	LOC
Liédena	LOC
León	LOC
Lécera	LOC
Languilla	LOC
Jaca	LOC
Illescas	LOC
Huesca	LOC
Hormilleja	LOC
Herrera	LOC
de	LOC
Pisuerga	LOC
Guadalajara	LOC
Gijón	LOC
Gata	LOC
Garray	LOC
Fitero	LOC
Figueras	LOC
Estella	LOC
Ferrol	LOC
Cuenca	LOC
Cudillero	LOC
Collado	LOC
Mediano	LOC
Ciudad	LOC
Rodrigo	LOC
Chamartín	LOC
de	LOC
la	LOC
Rosa	LOC
Castro-Urdiales	LOC
Cascante	LOC
del	LOC
Río	LOC
Carrión	LOC
de	LOC
los	LOC
Condes	LOC
Cangas	LOC
de	LOC
Onis	LOC
Calatayud	LOC
Calahorra	LOC
Burgos	LOC
Briviesca	LOC
Brihuega	LOC
Boal	LOC
Bisbal	LOC
del	LOC
Panadés	LOC
Bilbao	LOC
Betanzos	LOC
Barja	LOC
Barcelona	LOC
Barajas	LOC
de	LOC
Melo	LOC
Badalona	LOC
Avilés	LOC
Ávila	LOC
Astorga	LOC
Argentona	LOC
Arenys	LOC
de	LOC
Mar	LOC
Arenas	LOC
de	LOC
San	LOC
Pedro	LOC
Arbeiza	LOC
Aranjuez	LOC
Aranda	LOC
de	LOC
Duero	LOC
Alija	LOC
de	LOC
los	LOC
Melones	LOC
Alija	LOC
Algorta	LOC
Alcobendas	LOC
Alcalá	LOC
de	LOC
Henares	LOC
Alba	LOC
de	LOC
Tormes	LOC
Sorrento	LOC
Ravenna	LOC
Portogruaro	LOC
Cremona	LOC
Buenos	LOC
Aires	LOC
Montevideo	LOC
Mérida	LOC
Caracas	LOC
Medellín	LOC
Colombres	LOC
Lima	LOC
Alburquerque	LOC
Rentería	LOC
Washington	LOC
Caernarvon	LOC
Berkeley	LOC
Granollers	LOC
,	O
Ajuntament	O
de	O
Granollers	LOC
,	O
D.L.	O
1997	O
Almería	LOC
,	O
-LSB-	O
s.n.	O
-RSB-	O
,	O
-LSB-	O
1905	O
?	O
-RSB-	O
-LRB-	O
ImprentaLa	O
Industria	O
''	O
-RRB-	O
.	O
Sevilla	LOC
,	O
Francisco	O
Álvarez	O
y	O
Compañía	O
,	O
1841	O
.	O
Valencia	LOC
,	O
-LSB-	O
Nicolau	PERS
Spindeler	PERS
-RSB-	O
,	O
1490	O
En	O
Valencia	LOC
,	O
en	O
la	O
Impresión	O
de	O
Felipe	O
Mey	O
,	O
1618	O
.	O
Valencia	LOC
,	O
Imp	O
.	O
de	O
Benito	PERS
Monfort	PERS
,	O
1780	O
.	O
Nápoles	O
,	O
1517	O
.	O
Valencia	LOC
,	O
José	O
Ferrer	O
de	O
Orga	O
,	O
1816	O
.	O
London	LOC
,	O
England	LOC
,	O
University	O
Barcelona	LOC
,	O
Montaner	O
y	O
Simón	O
,	O
1886	O
Castellón	LOC
,	O
Departamento	O
de	O
Cultura	O
,	O
Delegación	O
de	O
Educación	O
Nacional	O
,	O
-LSB-	O
1947	O
-RSB-	O
.	O
Buenos	LOC
Aires	LOC
,	O
-LSB-	O
s.n.	O
-RSB-	O
,	O
1836	O
-LRB-	O
Imprenta	O
del	O
Estado	O
-RRB-	O
Buenos	LOC
Aires	LOC
,	O
-LSB-	O
s.n.	O
-RSB-	O
,	O
1836	O
-LRB-	O
Imprenta	O
del	O
Estado	O
-RRB-	O
.	O
Valencia	LOC
,	O
Universidad	O
,	O
Secretariado	O
de	O
Publicaciones	O
,	O
Facultad	O
de	O
Filología	O
,	O
Instituto	O
Hispano-Árabe	O
de	O
Cultura	O
,	O
1984	O
.	O
Sevilla	LOC
,	O
En	O
casa	O
de	O
Alonso	PERS
Escrivano	PERS
,	O
1570	O
.	O
París	LOC
,	O
Augusto	PERS
Bobée	PERS
,	O
1825	O
.	O
-LSB-	O
Barcelona	LOC
,	O
s.n.	O
,	O
1815	O
-RSB-	O
Amstelodami	LOC
,	O
ex	O
Officina	O
Elzeviriana	O
,	O
1670	O
.	O
Impressa	O
en	O
la	O
ciutat	O
d	O
-LSB-	O
e	O
-RSB-	O
Barçelona	LOC
,	O
a	O
despeses	O
de	O
Matheu	PERS
Vendrell	PERS
...	O
,	O
17	O
abril	O
1484	O
.	O
Basileae	LOC
,	O
per	O
Robertum	O
Winter	O
,	O
mense	O
augusto	O
1538	O
.	O
-LSB-	O
Barcelona	LOC
-LRB-	O
Província	O
-RRB-	O
-RSB-	O
,	O
-LSB-	O
entre	O
1800	O
i	O
1850	O
-RSB-	O
.	O
Barcelona	LOC
,	O
1897-1914	O
.	O
Valencia	LOC
,	O
-LSB-	O
Leonard	PERS
Hutz	PERS
i	O
Leonard	PERS
Hutz	PERS
?	O
-RSB-	O
,	O
16	O
febrer	O
1491	O
.	O
París	LOC
,	O
Augusto	PERS
Bobée	PERS
,	O
1825	O
Zaragoza	LOC
,	O
Juan	PERS
Larumbe	PERS
,	O
1623	O
.	O
Barcelona	LOC
,	O
Montaner	PERS
y	PERS
Simon	PERS
,	O
1884	O
.	O
Bélgica	LOC
.	O
Amberes	LOC
Madrid	LOC
;	O
Buenos	LOC
Aires	LOC
,	O
Renacimiento	O
,	O
1914	O
Mexic	LOC
,	O
Biblioteca	O
Catalana	O
,1943	O
.	O
Francia	LOC
.	O
Lyon	LOC
Francia	LOC
.	O
París	LOC
Portugal	LOC
.	O
Leiría	LOC
Valencia	LOC
,	O
-LSB-	O
Nicolau	PERS
Spindeler	PERS
-RSB-	O
,	O
1490	O
.	O
Amsterdam	LOC
,	O
Chez	O
Marc	PERS
Michel	PERS
Rey	PERS
,	O
1762	O
Londres	LOC
,	O
-LSB-	O
s.n.	O
-RSB-	O
,	O
1810	O
-LRB-	O
En	O
la	O
Imprenta	O
de	O
Cox	O
,	O
Hijo	O
y	O
Baylis	O
-RRB-	O
.	O
Huesca	LOC
,	O
Juan	PERS
Nogués	PERS
,	O
1646	O
Barcelona	LOC
,	O
Sebastián	PERS
de	PERS
Cormellas	PERS
,	O
1612	O
.	O
Vitoria	LOC
,	O
Tomas	PERS
Robles	PERS
,	O
-LSB-	O
s.a.	O
-RSB-	O
.	O
València	LOC
,	O
Xuquer	O
,	O
1990	O
.	O
México	LOC
,	O
DF.	O
,	O
-LSB-	O
s.n.	O
-RSB-	O
,	O
1955	O
-LRB-	O
Impresiones	O
modernas	O
-RRB-	O
.	O
Barcelona	LOC
,	O
Óssa	O
Menor	O
,	O
1954	O
Venecia	LOC
,	O
1528	O
,	O
-LSB-	O
Santiago	O
-RSB-	O
,	O
Xunta	O
de	O
Galicia	O
,	O
Consellería	O
de	O
Cultura	O
,	O
Comunicación	O
Social	O
e	O
Turismo	O
,	O
2002	O
.	O
England	LOC
.	O
Oxford	LOC
Palermo	LOC
,	O
Dai	O
Tipi	O
di	O
Sonzogno	O
e	O
Compagni	O
,	O
1814	O
Messina	O
,	O
-LSB-	O
s.n.	O
-RSB-	O
,	O
1813	O
-LRB-	O
Giovanni	O
del	O
Nobolo	O
-RRB-	O
Paris	LOC
,	O
Dondey-Dupré	O
,	O
1832	O
.	O
San	LOC
Sebastián	LOC
,	O
Sociedad	O
Guipuzcoana	O
de	O
Ediciones	O
y	O
Publicaciones	O
,	O
Caja	O
de	O
Ahorros	O
Municipal	O
de	O
San	LOC
Sebastián	LOC
,	O
1985	O
.	O
Pôrto	LOC
,	O
Imprensa	O
Portuguesa	O
,	O
1931	O
.	O
A	LOC
Coruña	LOC
,	O
Fundación	O
Barrié	O
de	O
la	O
Maza	O
,	O
1988	O
Río	LOC
de	LOC
Janeiro	LOC
,	O
-LSB-	O
s.n.	O
-RSB-	O
,	O
1956	O
Barcelona	LOC
,	O
Pere	O
Miquel	O
;	O
Diego	O
Gumiel	O
,	O
1497	O
.	O
Buenos	LOC
Aires	LOC
,	O
-LSB-	O
s.n.	O
-RSB-	O
,	O
1953	O
.	O
New	LOC
York	LOC
,	O
Garland	O
,	O
1990	O
.	O
-LSB-	O
México	LOC
-RSB-	O
,	O
por	O
la	O
Viuda	O
de	O
D.	O
Joseph	O
Bernardo	O
de	O
Hogal	O
,	O
1751	O
Paris	LOC
,	O
Édition	O
Mutuelle	O
,	O
cop	O
.	O
1911	O
.	O
Madrid	LOC
;	O
Barcelona	LOC
-LSB-	O
etc.	O
-RSB-	O
,	O
Unión	ORG
Musical	ORG
Española	ORG
,	O
-LSB-	O
ca.	O
1920	O
-RSB-	O
.	O
Madrid	LOC
;	O
Barcelona	LOC
-LSB-	O
etc.	O
-RSB-	O
,	O
Unión	ORG
Musical	ORG
Española	ORG
,	O
-LSB-	O
ca.	O
1925	O
-RSB-	O
.	O
-LSB-	O
Barcelona	LOC
,	O
Torres	O
y	O
Seguí	O
-RSB-	O
,	O
-LSB-	O
1888	O
-RSB-	O
.	O
Madrid	LOC
;	O
Barcelona	LOC
-LSB-	O
etc.	O
-RSB-	O
,	O
Unión	ORG
Musical	ORG
Española	ORG
,	O
-LSB-	O
ca.	O
1920	O
-RSB-	O
.	O
Paris	LOC
,	O
Rouart	O
,	O
Lerolle	O
&	O
Cie	O
,	O
cop	O
.	O
1909	O
.	O
Paris	LOC
-LSB-	O
etc.	O
-RSB-	O
,	O
Edition	O
Mutuelle	O
-LSB-	O
etc.	O
-RSB-	O
,	O
-LSB-	O
ca.	O
1911	O
-RSB-	O
.	O
Paris	LOC
,	O
Rouart	O
,	O
Lerolle	O
&	O
Cie.	O
,	O
cop	O
.	O
1909	O
.	O
Barcelona	LOC
,	O
Lit	O
.	O
M.	O
Hereu	O
,	O
-LSB-	O
1901	O
-RSB-	O
.	O
Barcelona	LOC
,	O
Pedro	O
Astort	O
,	O
-LSB-	O
ca.	O
1900	O
-RSB-	O
.	O
Barcelona	LOC
,	O
Sindicato	O
Musical	O
Barcelonés	O
Dotésio	O
,	O
-LSB-	O
ca.	O
1910	O
-RSB-	O
.	O
Valencia	LOC
,	O
Imprenta	O
de	O
la	O
Compañía	O
General	O
de	O
Impresores	O
y	O
Libreros	O
del	O
Reino	O
,	O
1856	O
.	O
A	O
Amsterdam	LOC
,	O
et	O
se	O
trouve	O
á	O
Paris	LOC
,	O
Chez	O
Visse	O
,	O
1787	O
.	O
Barcelona	LOC
,	O
Estampa	O
de	O
Cristófol	O
Miró	O
,	O
1882	O
Paris	LOC
,	O
chez	O
Iean	O
Foüet	O
...	O
,	O
1614	O
Suiza	O
.	O
Basilea	LOC
Barcelona	LOC
,	O
Por	O
Sebastián	PERS
Cormellas	PERS
,	O
1631	O
.	O
Zaragoza	LOC
,	O
Francisco	O
Revilla	O
,	O
1737	O
y	O
Barcelona	LOC
,	O
Juan	O
Bta	O
.	O
Pujol	O
,	O
-LSB-	O
1893	O
?	O
-RSB-	O
.	O
Barcelona	LOC
,	O
Joseph	O
Guardia	O
,	O
-LSB-	O
1911	O
?	O
-RSB-	O
.	O
Barcelona	LOC
-LSB-	O
etc.	O
-RSB-	O
,	O
Sindicato	O
Musical	O
Barcelonés	O
Dotesio	O
-LSB-	O
etc.	O
-RSB-	O
,	O
-LSB-	O
1903	O
?	O
-RSB-	O
.	O
Barcelona	LOC
,	O
Tip	O
.	O
Moderna	O
de	O
M.	O
Zorio	O
,	O
-LSB-	O
ca.	O
1900	O
-RSB-	O
.	O
Barcelona	LOC
,	O
en	O
la	O
imprenta	O
de	O
Mathevat	O
...	O
,	O
1685	O
.	O
Roma	LOC
Paris	LOC
,	O
en	O
la	O
tienda	O
de	O
Langelier	O
...	O
,	O
por	O
Iuan	PERS
Guignard	O
...	O
,	O
1660	O
.	O
London	LOC
,	O
Printed	O
for	O
Awnsham	O
and	O
John	O
Crullchill	O
,	O
at	O
the	O
Black	O
Swan	O
in	O
de	O
Pater	O
-	O
Noster	O
-	O
Row	O
,	O
1698	O
.	O
Cádiz	LOC
,	O
Imprenta	O
de	O
Manuel	O
Ximenez	O
,	O
1811	O
.	O
Buenos	LOC
Aires	LOC
,	O
Ortega	O
y	O
Radaelli	O
,	O
1903	O
Sevilla	LOC
,	O
1545	O
Zaragoza	LOC
,	O
Por	O
la	O
viuda	O
de	O
Pedro	O
Verges	O
,	O
a	O
costa	O
de	O
Roberto	O
Devport	O
,	O
1647	O
.	O
Vigo	LOC
,	O
Imp	O
.	O
de	O
J.	O
Compañel	O
,	O
1859	O
Barcelona	LOC
,	O
Montaner	O
y	O
Simón	O
,	O
1898	O
Vigo	LOC
,	O
Imp	O
.	O
de	O
J.	O
Compañel	O
,	O
1863	O
Barcelona	LOC
,	O
de	O
manament	O
dels	O
senyors	O
deputats	O
del	O
General	O
de	O
Cathalunya	O
,	O
en	O
la	O
estampa	O
de	O
Iaume	O
Cendrat	O
,	O
1601	O
.	O
Barcelona	LOC
,	O
en	O
casa	O
de	O
Hieronym	O
Margarit	O
,	O
1609	O
Valencia	LOC
,	O
Herederos	O
de	O
Gerónimo	O
Conejos	O
,	O
1752	O
Buenos	LOC
Aires	LOC
,	O
Imprenta	O
del	O
Estado	O
,	O
1836	O
.	O
Buenos	LOC
Aires	LOC
,	O
Imprenta	O
y	O
Casa	O
EditoraConi	O
''	O
,	O
1923	O
-LSB-	O
México	LOC
-RSB-	O
,	O
-LSB-	O
Empresa	O
de	O
Ilustraciones	O
-RSB-	O
,	O
-LSB-	O
1896	O
-RSB-	O
.	O
México	LOC
,	O
Imprenta	O
de	O
Ignacio	PERS
Escalante	PERS
,	O
1874	O
.	O
México	LOC
,	O
Imprenta	O
de	O
Andrade	O
y	O
Escalante	O
,	O
1861	O
México	LOC
,	O
J.M.	O
Andrade	O
y	O
F.	O
Escalante	O
,	O
1864	O
.	O
México	LOC
,	O
Tipografía	O
de	O
T.	O
González	O
,	O
1899	O
.	O
México	LOC
,	O
Impr	O
.	O
de	O
Ignacio	PERS
Cumplido	PERS
,	O
1862	O
Granada	LOC
,	O
Iuan	PERS
varela	O
de	O
salama	O
-LSB-	O
n	O
-RSB-	O
ca	O
,	O
1505	O
Lima	LOC
,	O
Imprenta	O
de	O
J.	O
Francisco	O
Solis	O
,	O
1874	O
Italia	LOC
.	O
Venecia	LOC
Barcelona	LOC
,	O
Pere	O
Posa	O
i	O
Pere	O
Bru	O
,	O
16	O
juliol	O
1481	O
.	O
Barcelona	LOC
,	O
1879	O
.	O
Lima	LOC
,	O
Imprenta	O
de	O
J.	O
Francisco	O
Solis	O
,	O
1876	O
Lima	LOC
,	O
Imprenta	O
de	O
J.	O
Francisco	O
Solis	O
,	O
1878	O
Lima	LOC
,	O
Imprenta	O
de	O
J.	O
Francisco	O
Solis	O
,	O
1880	O
Lima	LOC
,	O
Imprenta	O
de	O
J.	O
Francisco	O
Solis	O
,	O
1885	O
Barcelona	LOC
,	O
19	O
abril	O
de	O
1883	O
.	O
Barcelona	LOC
,	O
1873	O
.	O
Barcelona	LOC
,	O
31	O
d'octubre	O
de	O
1835	O
.	O
Lima	LOC
,	O
Imprenta	O
de	O
J.	O
Francisco	O
Solis	O
,	O
1887	O
Lima	LOC
,	O
Imprenta	O
de	O
J.	O
Francisco	O
Solis	O
,	O
1890	O
Buenos	LOC
Aires	LOC
,	O
Imprenta	O
y	O
Casa	O
EditoraConi	O
''	O
,	O
1925	O
Valencia	LOC
,	O
Librerías	O
de	O
Juan	PERS
Mariana	PERS
y	PERS
Sanz	PERS
,	O
1878	O
.	O
Valencia	LOC
,	O
-LSB-	O
s.n.	O
-RSB-	O
-LRB-	O
Imprenta	O
de	O
ViTorino	PERS
León	PERS
,	O
1871	O
-RRB-	O
.	O
Valencia	LOC
,	O
-LSB-	O
s.n.	O
-RSB-	O
-LRB-	O
Ramón	PERS
Ortega	PERS
,	O
1872	O
-RRB-	O
Valencia	LOC
,	O
-LSB-	O
s.n.	O
-RSB-	O
-LRB-	O
ViTorino	PERS
León	PERS
,	O
1870	O
-RRB-	O
.	O
Valencia	LOC
,	O
Juan	PERS
Mariana	PERS
y	PERS
Sanz	PERS
,	O
1872	O
.	O
Barcelona	LOC
,	O
Henrich	O
y	O
Cía.	O
,	O
1891	O
Barcelona	LOC
,	O
Biblioteca	O
Arte	O
y	O
Letras	O
''	O
,	O
1882	O
México	LOC
,	O
Herrero	O
,	O
Hermanos	O
Editores	O
,	O
1898	O
Santander	LOC
,	O
-LSB-	O
s.n.	O
-RSB-	O
,	O
1869	O
México	LOC
,	O
Tipografía	O
de	O
R.	O
Rafael	O
,	O
1830	O
Barcelona	LOC
,	O
Jaime	O
Seix	O
,	O
1878	O
.	O
.	O
México	LOC
,	O
Typis	O
vidux	O
Josephi	O
de	O
Hogal	O
,	O
1754	O
París	LOC
,	O
Sociedad	O
de	O
Ediciones	O
Literarias	O
y	O
Artísticas	O
,	O
1908	O
.	O
Ciudad	LOC
Trujillo	LOC
,	O
Librería	O
Dominicana	O
,	O
1940	O
Ciutat	LOC
de	LOC
Mèxic	LOC
,	O
Biblioteca	O
Catalana	O
,	O
1956	O
.	O
Castellón	LOC
,	O
Imprenta	O
de	O
Venancio	O
Soto	O
,	O
1872	O
Valencia	LOC
,	O
Imprenta	O
de	O
José	PERS
María	PERS
Ayoldi	PERS
,	O
1869	O
Alemanya	LOC
.	O
Nuremberg	LOC
Italia	LOC
.	O
Roma	LOC
Italia	LOC
.	O
Verona	LOC
Italia	LOC
.	O
Milán	O
México	LOC
,	O
impressos	O
por	O
Francisco	PERS
Rodriguez	PERS
Lupercio	PERS
,	O
1677	O
México	LOC
,	O
en	O
la	O
Imprenta	ORG
Real	ORG
y	O
más	O
antiguo	O
Colegio	O
de	O
San	O
Ildefonso	O
,	O
1756	O
México	LOC
,	O
En	O
la	O
Imprenta	O
de	O
D.	PERS
Joseph	PERS
Antonio	PERS
de	PERS
Hogal	PERS
,	O
1772	O
México	LOC
,	O
Francisco	PERS
Rodriguez	PERS
Lupercio	PERS
,	O
1671	O
México	LOC
,	O
Impr	O
.	O
de	O
la	O
testamentaría	O
de	O
Valdés	O
,	O
a	O
cargo	O
de	O
J.	O
M.	O
Gallegos	O
,	O
1836	O
México	LOC
,	O
Sociedad	O
de	O
Edición	O
y	O
Librería	O
Franco-Americana	O
,	O
1928	O
Lima	LOC
,	O
Imp	O
.	O
Real	O
de	O
los	O
Niños	O
Expósitos	O
,	O
1791-1795	O
.	O
México	LOC
,	O
imprenta	O
del	O
editor	O
,	O
1843	O
Valencia	LOC
,	O
Juan	PERS
Mariana	PERS
y	PERS
Sanz	PERS
,	O
1871	O
Zaragoza	LOC
,	O
Iuan	PERS
Ibar	PERS
,	O
1650	O
.	O
Valencia	LOC
,	O
F.	O
Campos	O
,	O
1868	O
.	O
Valencia	LOC
,	O
José	PERS
Mateu	PERS
Garín	PERS
,	O
1861	O
Valencia	LOC
,	O
VicTorino	PERS
León	PERS
,	O
1871	O
Játiva	LOC
,	O
Blas	PERS
Bellver	PERS
,	O
1867	O
Valencia	LOC
,	O
Piles	O
,	O
1874	O
Almería	LOC
,	O
Universidad	O
de	O
Almería	LOC
,	O
Servicio	O
de	O
Publicaciones	O
,	O
2002	O
.	O
León	LOC
,	O
Universidad	O
,	O
Secretariado	O
de	O
Publicaciones	O
y	O
Medios	O
Audiovisuales	O
,	O
2003	O
.	O
Alicante	LOC
,	O
Universidad	O
de	O
Alicante	LOC
,	O
Secretariado	O
de	O
Publicaciones	O
;	O
Grupo	O
de	O
Geografía	O
urbana	O
de	O
la	O
Asociación	O
de	O
Geógrafos	O
Españoles	O
,	O
1996	O
.	O
México	LOC
,	O
José	PERS
Bernardo	PERS
de	PERS
Hogal	PERS
,	O
1739	O
Sevilla	LOC
,	O
Imp	O
.	O
de	O
E.	O
Rasco	O
,	O
1892	O
México	LOC
,	O
-LSB-	O
s.n.	O
-RSB-	O
,	O
1899	O
-LRB-	O
imp	O
.	O
y	O
lit.La	O
Europea	O
''	O
de	O
J.	PERS
Aguilar	PERS
Vera	PERS
y	PERS
Ca	PERS
-RRB-	O
México	LOC
,	O
Viuda	PERS
de	PERS
Bernardo	PERS
Calderón	PERS
,	O
1690	O
Barcelona	LOC
,	O
Juan	PERS
Franci	PERS
,	O
1915	O
Barcelona	LOC
,	O
Juan	PERS
Franci	PERS
,	O
1915	O
,	O
-LRB-	O
los	O
dos	O
siglos	O
;	O
9	O
-RRB-	O
Berkeley	LOC
,	O
University	O
of	O
California	LOC
Press	O
,	O
1959	O
Castellón	LOC
,	O
Imp	O
.	O
y	O
Librería	O
de	O
Rovira	O
Hermanos	O
,	O
1874	O
Barcelona	LOC
,	O
Barcino	LOC
,	O
1935	O
Barcelona	LOC
,	O
-LSB-	O
s.n.	O
-RSB-	O
,	O
1881	O
-LRB-	O
Imp	O
.	O
y	O
Litogr	O
.	O
de	O
Faustino	PERS
Paluzie	PERS
-RRB-	O
Barcelona	LOC
,	O
Llibrería	O
d'Art	O
M.	O
Bayés	O
,	O
-LSB-	O
1915-1921	O
-RSB-	O
.	O
Barcelona	LOC
,	O
Librería	O
de	O
Antonio	PERS
J.	PERS
Bastinos	PERS
,	O
1897	O
Barcelona	LOC
,	O
Faustino	PERS
Paluzíe	PERS
,	O
1891	O
Buenos	LOC
Aires	LOC
,	O
Espasa-Calpe	ORG
,	O
1939	O
Oviedo	LOC
,	O
En	O
la	O
Oficina	O
de	O
Pedregal	O
,	O
1812	O
.	O
Valladolid	LOC
,	O
Imp	O
.	O
de	O
Juan	PERS
de	PERS
la	PERS
Cuesta	PERS
,	O
1863	O
.	O
Paris	LOC
,	O
Baudoin	PERS
Frères	PERS
,	O
1824	O
.	O
Cabra	LOC
-LRB-	O
Córdoba	LOC
-RRB-	O
,	O
Delegación	O
Provincial	O
de	O
Turismo	O
y	O
Deporte	O
de	O
la	O
Junta	O
de	O
Andalucía	LOC
,	O
2003	O
Cabra	LOC
-LRB-	O
Córdoba	LOC
-RRB-	O
,	O
Delegación	O
de	O
Cultura	O
,	O
Ayuntamiento	O
de	O
Cabra	LOC
,	O
2002	O
Coruña	LOC
,	O
Oficina	O
de	O
Francisco	PERS
Cándido	PERS
Pérez	PERS
Prieto	PERS
,	O
1811	O
Santiago	LOC
de	LOC
Chile	LOC
,	O
Imprenta	O
Universitaria	O
,	O
1907	O
París	LOC
,	O
Baudry	O
,	O
Librería	O
Europea	O
,	O
1848	O
.	O
México	LOC
,	O
Imprenta	O
de	O
la	O
Biblioteca	O
Mexicana	O
,	O
1769	O
Balaguer	O
,	O
17	O
diciembre	O
1887	O
.	O
Granada	LOC
,	O
16	O
d'octubre	O
de	O
1573	O
.	O
-LSB-	O
Barcelona	LOC
-LSB-	O
Roma	LOC
-RSB-	O
,	O
en	O
los	O
primeros	O
meses	O
del	O
